,Unnamed: 0,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
949,949,2.0,4.0,,42.34637,-71.07145,2.0,1.2,1.0,1.0,1.0,1125,1.0,2.0,1125.0,1125.0,1.4,1125.0,,16,40,67,23.0,7.4,0.3,4.89,4.94,4.99,4.98,4.97,4.83
950,950,3.0,4.0,,42.36908,-71.03937,2.0,2.0,1.0,1.0,2.0,14,2.0,3.0,14.0,14.0,2.3,14.0,,19,19,19,23.0,45.0,1.0,4.72,4.82,4.95,4.92,4.85,4.65
951,951,171.0,37.8,,42.352093,-71.060806,3.0,1.2,1.0,1.5,29.0,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,,30,60,90,4.0,0.0,0.0,4.5,4.8,4.9,4.9,4.5,4.25
952,952,31.0,49.0,,42.35945,-71.06551,2.0,1.0,1.0,1.0,29.0,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,,29,59,89,82.0,5.0,1.0,4.72,4.8,4.94,4.96,4.96,4.51
953,953,1.0,1.0,,42.32685,-71.09683,4.0,1.0,2.0,2.0,2.0,7,2.0,2.0,7.0,7.0,2.0,7.0,,21,51,81,23.0,7.4,1.0,4.93,4.97,4.97,4.98,4.78,4.87
954,954,1.0,2.0,,42.3208,-71.11296,2.0,1.2,1.3,1.5,13.6,1125,12.7,13.1,1125.0,1125.0,14.5,1125.0,,0,0,0,13.0,0.0,0.0,4.85,4.92,5.0,5.0,4.92,4.92
955,955,12.0,22.0,,42.33351,-71.10182,4.0,1.0,2.0,2.0,75.0,1125,4.0,75.0,1125.0,1125.0,57.0,1125.0,,30,60,90,19.0,0.0,0.0,4.68,4.89,4.95,4.95,4.74,4.63
956,956,1.0,2.0,,42.37346,-71.0404,3.0,1.0,1.0,1.0,29.0,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,,5,5,5,92.0,2.0,1.0,4.92,4.95,4.98,5.0,4.86,4.87
957,957,2.0,2.0,,42.32489,-71.09417,4.0,1.0,2.0,3.0,2.0,60,2.0,2.0,1125.0,1125.0,2.0,1125.0,,6,21,38,23.0,7.4,0.3,4.97,4.96,4.97,4.98,4.82,4.86
958,958,2.0,2.0,,42.3725,-71.06219,2.0,1.2,1.0,1.5,29.0,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,,0,0,0,11.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,4.91
959,959,2.0,4.0,,42.34504,-71.07375,1.0,1.2,1.0,1.0,1.0,1125,1.0,2.0,1125.0,1125.0,1.4,1125.0,,24,54,84,23.0,7.4,0.0,4.93,4.97,4.98,4.98,4.98,4.8
960,960,1.0,1.0,,42.33423,-71.03884,6.0,1.2,3.0,1.5,29.0,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,,0,0,0,59.0,0.0,0.0,5.0,4.97,5.0,4.98,4.92,4.85
961,961,5.0,6.0,,42.35034,-71.0619,5.0,1.0,2.0,3.0,13.6,365,12.7,13.1,1125.0,1125.0,14.5,1125.0,,14,44,74,23.0,7.0,0.0,4.66,4.78,4.93,4.92,4.86,4.58
962,962,1.0,1.0,,42.33541,-71.047,6.0,1.2,3.0,1.5,29.0,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,,0,0,0,86.0,0.0,0.0,4.85,4.88,5.0,5.0,4.86,4.78
963,963,10.0,10.0,,42.32192,-71.07855,2.0,1.0,1.0,1.0,2.0,365,2.0,2.0,365.0,365.0,2.0,365.0,,30,60,90,68.0,11.0,0.0,4.59,4.6,4.76,4.72,4.19,4.34
